locationSlug,name,region,address_in_repo,gbp_address_verified,lat,lng,gbp_lat,gbp_lng,delta_metres,cid,placeId,gbp_verified_2026_08_29,canonical_route,note
bridgewater-orthopedics,"Mountain Spine & Orthopedics Bridgewater, NJ","Bridgewater, NJ","1200 US-22 #14, Bridgewater, NJ 08807",,40.5937911,-74.6589961,,,,,,no,/locations/new-jersey/bridgewater-orthopedics,No GBP cid in dataset - address and coordinates UNVERIFIED
cherry-hill-orthopedics,"Mountain Spine & Orthopedics Cherry Hill, NJ","Cherry Hill, NJ","100 Springdale Rd, Suite B5, Cherry Hill, NJ 08003","100 Springdale Rd b5, Cherry Hill Township, NJ 08003",39.8611882,-74.976089,39.8613689,-74.9760377,21,14496800707702671205,ChIJSaQvEe7NxokRZcc_sm_7Lsk,yes,/locations/new-jersey/cherry-hill-orthopedics,"Within 21m of GBP - geocoding jitter, no action"
edison-orthopedics,"Mountain Spine & Orthopedics Edison, NJ","Edison, NJ","25 Main St suite 12, Edison, NJ 08837",,40.5218,-74.3644,,,,,,no,/locations/new-jersey/edison-orthopedics,No GBP cid in dataset - address and coordinates UNVERIFIED
freehold-orthopedics,"Mountain Spine & Orthopedics Freehold, NJ","Freehold, NJ","77 Schanck Rd, Suite B17, Freehold, NJ 07728",,40.2445,-74.2748,,,,,,no,/locations/new-jersey/freehold-orthopedics,No GBP cid in dataset - address and coordinates UNVERIFIED
paramus-orthopedics,"Mountain Spine & Orthopedics Paramus, NJ","Paramus, NJ","140 NJ-17, Suite 101B, Paramus, NJ 07652",,40.9412,-74.0725,,,,,,no,/locations/new-jersey/paramus-orthopedics,No GBP cid in dataset - address and coordinates UNVERIFIED
west-orange-surgery-center,Mountain Spine & Orthopedics West Orange Surgery Center,"West Orange, NJ","375 Mount Pleasant Ave, Unit 2E, West Orange, NJ 07052","375 Mt Pleasant Ave #2E, West Orange, NJ 07052",40.7904153,-74.2611222,40.7904678,-74.2609851,13,3546060446860709693,ChIJZ-1D5W-rw4kRPQ8yRzAjNjE,yes,/locations/new-jersey/west-orange-surgery-center,"Within 13m of GBP - geocoding jitter, no action"
new-york-city-orthopedics,Mountain Spine & Orthopedics New York City,"New York, NY","535 5th Ave, Suite 1012, New York, NY 10017","535 5th Ave #1012, New York, NY 10017",40.7548364,-73.9794122,40.7548364,-73.9794122,0,5776462500461449645,ChIJPUTbujZZwokRrZFeBgoeKlA,yes,/locations/new-york/new-york-city-orthopedics,Coordinates corrected 2026-08-29: were 112m from the GBP location.
allentown-orthopedics,"Mountain Spine & Orthopedics Allentown, PA","Allentown, PA","451 W. Linden St., Allentown, PA 18102",,40.6033,-75.4775,,,,,,no,/locations/pennsylvania/allentown-orthopedics,No GBP cid in dataset - address and coordinates UNVERIFIED
philadelphia-walnut-orthopedics,Mountain Spine & Orthopedics Philadelphia (Walnut),"Philadelphia, PA","1601 Walnut St. Suite 514, Philadelphia, PA 19102",,39.9496,-75.1685,,,,,,no,/locations/pennsylvania/philadelphia-walnut-orthopedics,No GBP cid in dataset - address and coordinates UNVERIFIED
philadelphia-tioga-orthopedics,Mountain Spine & Orthopedics Philadelphia (Tioga),"Philadelphia, PA","2401 E. Tioga St., Philadelphia, PA 19134",,39.9912,-75.0934,,,,,,no,/locations/pennsylvania/philadelphia-tioga-orthopedics,No GBP cid in dataset - address and coordinates UNVERIFIED
philadelphia-germantown-orthopedics,Mountain Spine & Orthopedics Philadelphia (Germantown),"Philadelphia, PA","5245 Germantown Ave. Suite A, Philadelphia, PA 19144",,40.0275,-75.1668,,,,,,no,/locations/pennsylvania/philadelphia-germantown-orthopedics,No GBP cid in dataset - address and coordinates UNVERIFIED
voorhees-orthopedics,"Mountain Spine & Orthopedics Voorhees Township, NJ","Voorhees, NJ","701 White Horse Rd Unit 5, Voorhees Township, NJ 08043",,40.8512,-74.9984,,,,,,no,/locations/new-jersey/voorhees-orthopedics,No GBP cid in dataset - address and coordinates UNVERIFIED
princeton-orthopedics,"Mountain Spine & Orthopedics Princeton, NJ","Princeton, NJ","601 Ewing Street, Suite A8, Princeton, NJ 08540",,40.3573,-74.6672,,,,,,no,/locations/new-jersey/princeton-orthopedics,No GBP cid in dataset - address and coordinates UNVERIFIED
